hostname,observed_ts,node_cohort,latest_score
sui-main.astrostakers.com,8/18/2025,validator,93
sui-main.everstake.one,8/18/2025,validator,85
validator.sui.mainnet.encapsulate.xyz,8/18/2025,validator,85
sui-m-v.bwarelabs.com,8/18/2025,validator,85
suimain01.chainflow.io,8/18/2025,validator,85
validator-sui-mainnet.blrd.inc,8/18/2025,validator,85
sui-validator-mainnet.omnistake.com,8/18/2025,validator,85
sui-mainnet-validator.sentio.xyz,8/18/2025,validator,80
sui.midl.dev,8/18/2025,validator,80
mainnet.validator.karrier.one,8/18/2025,validator,80
ika-validator.sui-mainnet.ika.xyz,8/18/2025,validator,80
sui.vestige.systems,8/18/2025,validator,80
mainnet.validator.haedal.xyz,8/18/2025,validator,80
p2p.0018df71-34f0-470d-b60c-77f8dbf7960d.sui.bison.run,8/18/2025,validator,80
validator.mainnet.sui.mirai.cloud,8/18/2025,validator,80
validator.mainnet.sui.zkvalidator.com,8/18/2025,validator,75
sui-mn-validator.ibriz.ai,8/18/2025,validator,75
validator.mainnet.alphafi.xyz,8/18/2025,validator,75
cypher-mainnet.juicystake.io,8/18/2025,validator,75
validator-mainnet.bucketprotocol.io,8/18/2025,validator,75
lus776.stwserver.net,8/18/2025,validator,75
juicy-sui-main.juicystake.io,8/18/2025,validator,72
sui.stakingwizard.com,8/18/2025,validator,60
sui.chainide.com,8/18/2025,validator,60
sui-mainnet-figment.staking.production.figment.io,8/18/2025,validator,60
sui-mainnet-val1.services.asymmetric.re,8/18/2025,validator,60
sui.artifact-staking.io,8/18/2025,validator,60
sui-mainnet.chainode.tech,8/18/2025,validator,60
sui.bci.glxy.com,8/18/2025,validator,60
sui-mainnet.stakewith.us,8/18/2025,validator,60
sui-tdmtech-validator.ankr.com,8/18/2025,validator,60
val01-sui-m.pops.one,8/18/2025,validator,60
mainnet-sui-validator.onbuff.com,8/18/2025,validator,60
sui-validator.bartestnet.com,8/18/2025,validator,60
val1.premainnet.sui.p2p.org,8/18/2025,validator,60
sui.hashkey.cloud,8/18/2025,validator,60
sui-mainnet.interestlabs.io,8/18/2025,validator,60
sui.synergynodes.com,8/18/2025,validator,60
sui-mainnet.nodes.lgns.xyz,8/18/2025,validator,60
n1.sui.kelepool.io,8/18/2025,validator,57
sui-mainnet.brightlystake.com,8/18/2025,validator,57
sui.harbor.chorus.one,8/18/2025,validator,57
sui-mainnet.testnet-pride.com,8/18/2025,validator,57
validator.mainnet.scallop.io,8/18/2025,validator,54
suinode.cogentcrypto.io,8/18/2025,validator,50
sui-validator.peeranha.io,8/18/2025,validator,49
mainnet-rpc.sui.chainbase.online,8/18/2025,validator,45
fullnode.mainnet.sui.io,8/18/2025,hybrid_node,45
validator.sui.quantnode.tech,8/18/2025,validator,45
sui-mainnet.stakingdefenseleague.com,8/18/2025,validator,45
v.sui.mainnet.republiccrypto-source.info,8/18/2025,validator,45
restake-sui-main-00-0.machine.restake.tech,8/18/2025,validator,45
validator-01.sui.dsrvlabs.net,8/18/2025,validator,45
sui-mainnet.stakin-nodes.com,8/18/2025,validator,45
sui.starduststaking.com,8/18/2025,validator,45
sui.blockpi.network,8/18/2025,validator,45
sui-mainnet.moonlet.network,8/18/2025,validator,45
sui-validator.blockvision.org,8/18/2025,validator,45
api.blockeden.xyz,8/18/2025,validator,45
sui-mainnet.senseinode.com,8/18/2025,validator,45
sui-mainnet-validator.scale3labs.com,8/18/2025,validator,45
mainnet.sui.kiliglab.io,8/18/2025,validator,45
sui-mainnnet.contributiondao.com,8/18/2025,validator,45
sui-rpc.publicnode.com,8/18/2025,validator,45
sui-v.bharvest.io,8/18/2025,validator,45
sui-mainnet.dzdaic.com,8/18/2025,validator,45
sui-mainnet.01no.de,8/18/2025,validator,45
sui-mainnet.h2o-nodes.com,8/18/2025,validator,45
mainnet.sui.gu3.jp,8/18/2025,validator,45
go.getblock.io,8/18/2025,validator,45
sui.blockscope.net,8/18/2025,validator,45
sui-mainnet-endpoint.blockvision.org,8/18/2025,hybrid_node,45
sui-validator.stakely.io,8/18/2025,validator,45
sui-mainnet-udp.prod-eks-eu-west-1.staked.cloud,8/18/2025,validator,45
sui-mainnet.surf.tech,8/18/2025,validator,43
sui.proofgp.com,8/18/2025,validator,40
sui-validator.nelrann.org,8/18/2025,validator,40
sui.xprv.io,8/18/2025,validator,40
endpoints.omniatech.io,8/18/2025,validator,40
sui.api.onfinality.io,8/18/2025,public_rpc,40
sui.allnodes.me,8/18/2025,validator,40
sui-mainnet.ops.fish,8/18/2025,validator,40
bd-sui-main-validator-01.bdnodes.net,8/18/2025,validator,34
mainnet-validator.sui.chainbase.online,8/18/2025,validator,34
sui-mainnet.chorus.one,8/18/2025,validator,34
clayno-sui-mn.prostaking.com,8/18/2025,validator,24
sui-mainnet.nodeinfra.com,8/18/2025,public_rpc,15
sui.swiss-staking.ch,8/18/2025,validator,15
sui-val.citadel.one,8/18/2025,validator,15
rbr-1.mainet.sui.io,8/18/2025,validator,15
sui-mainnet.overclock.run,8/18/2025,validator,15
sui.nodeguardians.io,8/18/2025,validator,15
